Categoría,Alimento,Producto,Empresa
Panes y productos horneados y Pastelería,Pan,Pan Pita No+Gluten,NutrisaCorp
Panes y productos horneados y Pastelería,Pan,"Pan Francés Schar, 100gr",Schär - Importa Globe Italia
Panes y productos horneados y Pastelería,Pan,Pan Pevet sabor de infancia (tipo Bisnaguinha) 150g,Schär - Importa Globe Italia
Panes y productos horneados y Pastelería,Pan,"Pan de Manzana y Canela Schar, 200gr",Schär - Importa Globe Italia
Panes y productos horneados y Pastelería,Tortas,Torta chocofree vegana,Tasty free
Panes y productos horneados y Pastelería,Tortas,Torta (pastel) hojarasca manjar lúcuma,Tasty free
Panes y productos horneados y Pastelería,Tortas,Torta manjarchoc,Tasty free
Panes y productos horneados y Pastelería,Tortas,Torta (pastel) hojarasca manjar lucuma SIN GLUTEN,San Camilo - Tasty Free
Panes y productos horneados y Pastelería,Tortas,Torta choco vegana SIN GLUTEN,San Camilo - Tasty Free
Panes y productos horneados y Pastelería,Arepas,"Arepas de maíz blanco, 400g (5 unidades)",DeliMaíz
Panes y productos horneados y Pastelería,Arepas,"Arepas de maíz integral, 400g (6 unidades)",DeliMaíz
Panes y productos horneados y Pastelería,Arepas,"Arepas de maíz amarillo, 400g (5 unidades)",DeliMaíz
Panes y productos horneados y Pastelería,Arepas,"Arepas de maíz con doble queso, 400g (4 unidades)",DeliMaíz
Panes y productos horneados y Pastelería,Arepas,"Arepas Coctel, 8cm (10 unidades)",DeliMaíz
Panes y productos horneados y Pastelería,Tortilla para tacos,Tortilla No+Gluten (*contiene avena),NutrisaCorp
Panes y productos horneados y Pastelería,Brownie,Brownie Nutrisa,NutrisaCorp
Panes y productos horneados y Pastelería,Tortilla low carb,Cetortillas Flower,Cetortillas
Panes y productos horneados y Pastelería,Tortilla low carb,Cetortillas Gold,Cetortillas
Panes y productos horneados y Pastelería,Tortilla low carb,Cetortillas Mediterránea,Cetortillas
Panes y productos horneados y Pastelería,Tortilla low carb,Cetortillas Tradicional,Cetortillas
Panes y productos horneados y Pastelería,Tortilla low carb,Cetortillas Cioccolata XL Bolsa 295gr (6 tortillas),Cetortillas
Panes y productos horneados y Pastelería,Tortilla,"Tortilla de maíz Saniito, natural (para Wrap, tacos, fajitas y mini
tortillas)",Grupo Maizal SpA
"Queques, alfajores, productos horneados",Queques,Queque Chocolate sin gluten CUISINE&CO 200G,Cuisine&Co - JUMBO
"Queques, alfajores, productos horneados",Queques,Queque Vainilla sin gluten CUISINE&CO 200G,Cuisine&Co - JUMBO
"Queques, alfajores, productos horneados",Queques,Mini queque vainilla Nutrisa,NutrisaCorp
